"State","Icon","Style"
"Rejected by ASM","",""
"Pending with Customer Support Team","","Primary"
"Pending for NSM Approval","","Primary"
"Resent for NSM Approval","","Warning"
"Rejected by NSM","","Warning"
"Requested for More Details by NSM","","Primary"
"Requested for More Details by Primary Master Team","","Warning"
"Requested for More Details by Secondary Master Team","","Warning"
"Primary Customer Approved","","Success"
"Secondary Customer Approved","","Success"
"Primary Customer Created","","Success"
"Secondary Customer Created","","Success"
"Pending For Primary Customer Additional Details","","Primary"
"Pending For Secondary Customer Additional Details","","Primary"
"Pending with Secondary Master Processing","","Primary"
"Pending with Primary Master Processing","","Primary"
"Resent for Primary Master Processing","",""
"Resent for Secondary Master Processing","",""
"Lead Rejected","","Warning"
