"State","Style","Icon"
"Vendor Created","Success",""
"Vendor Rejected","Danger",""
"Requested for Vendor Creation","Primary",""
"Resent for Finance Team Approval","Warning",""
"Requested for More Details by Finance Team","Warning",""
"Pending for Physical Verification Officer Approval","Primary",""
"Pending for Quality Head Approval","Primary",""
"Pending for RCA Details","Primary",""
"Rejected by Finance Team","Danger",""
"Rejected by Physical Verification Officer","Danger",""
"Requested for More Details by Physical Verification Officer","Warning",""
"Resent for Physical Verification Officer Approval","Info",""
"Pending for Physical Verification Officer  Approval","Primary",""
"Issue Closed","Success",""
"Resent for Quality Team Approval","",""
"Pending for Quality Team Approval","",""
"Requested for More Details by Quality Team","",""
"Requested for More Details by Quality Team 2","Inverse",""
"Requested for More Details by Quality Team 1","Inverse",""
"RCA Approved","Success",""
"RCA Details Verification Pending","Warning",""
"RCA Details Pending","Info",""
"Credit Note Raised","Success",""
"Issue Rejected by Finance Team","Danger",""
"Issue Rejected by Quality Team","Danger",""
"Pending for Finance Team Approval","Primary",""
"Resent for Quality Team 2 Approval","",""
"Pending for Quality Team 1 Approval","Primary",""
"Pending for Supply Team Approval","Primary",""
"Resent for Supply Team Approval","Warning",""
"Requested for More Details by Supply Team","Warning",""
"Rejected by Supply Team","Danger",""
"Resent for Supply Team Review","Info",""
"Pending for Supply Team Review","Primary",""
"Requested for More Details by Quality Head","Warning",""
"Rejected by Quality Head","Danger",""
"Resent for Quality Head Approval","Info",""
"RSM Approval Pending","Primary",""
"Customer Master Approval Pending","Primary",""
"Customer Approved","Success",""
"Rejected from RSM","",""
"Rejected by Customer Master Approver","Danger",""
"Awaiting ToT Approval","Primary",""
"Pending for Master Team Approval","Inverse",""
"Resent for Customer Verification","Warning",""
"Resent For RSM Approval","Warning",""
"Resent For Master Team Approval","Warning",""
"Request For More Details","Info",""
"TOT Rejected By Customer","Danger",""
"Pending for TOT Approval from Customer","Primary",""
"Rejected by RSM","Danger",""
"Pending for RSM Approval","Primary",""
"Requested for More Details by Master Team","Warning",""
"Requested for More Details","Warning",""
"TOT Rejected by Customer &nbsp;","Danger",""
"Request for More Details &nbsp;","",""
"Resent for Master Team Approval &nbsp;","Warning",""
"Resent for RSM Approval &nbsp;","Warning",""
"Awaiting TOT Approval &nbsp;","",""
"Requested for More Details by RSM","Primary",""
"Rejected by RSM &nbsp;","",""
"Rejected","Danger","remove"
"Approved","Success","ok-sign"
"Pending","","question-sign"
